licencia_id,nombre_comercial,q
HB-004611,Urgell Premium 18,"Hotel Urgell Premium 18, Carrer Comte Urgell 18, Barcelona"
HB-004622,The Moods,"Hotel The Moods, Rambla Catalunya 84, Barcelona"
HB-004623,Pillow Rooms,"Hotel Pillow Rooms, Ronda Sant Pere 70, Barcelona"
HB-004626,Barcelona 226,"Hotel Barcelona 226, Carrer Aribau 226, Barcelona"
HB-004638,Bruc,"Hotel Bruc, Carrer BRUC 65, Barcelona"
HB-004646,The Corner 592,"Hotel The Corner 592, Carrer Gran Via Corts Catalanes 592, Barcelona"
HB-004648,Casa Saltor,"Hotel Casa Saltor, Carrer Gran Via Corts Catalanes 558, Barcelona"
HB-004654,Good-Home,"Hotel Good-Home, Carrer Rosselló 254, Barcelona"
HB-004656,THE STREETS,"Hotel THE STREETS, Carrer del Consell de Cent 322, Barcelona"
HB-004659,Smart Room Barcelona,"Hotel Smart Room Barcelona, Carrer Olzinelles 56-58, Barcelona"
HB-004670,The Conica Deluxe Bed  Breakfast,"Hotel The Conica Deluxe Bed  Breakfast, Carrer Corsèga 271, Barcelona"
HB-004677,Consell,"Hotel Consell, Carrer Consell de Cent 185, Barcelona"
HB-004682,Casa Gràcia,"Hotel Casa Gràcia, Passeig Gràcia 116 Bis, Barcelona"
HB-004684,Hostal BCN Llúria,"Hostal BCN Llúria, Carrer Roger de Llúria 46, Barcelona"
HB-004691,Cotton House,"Hotel Cotton House, Carrer Gran Via Corts Catalanes 670, Barcelona"
HB-004695,BacHome Barcelona BB,"Hotel BacHome Barcelona BB, Carrer Bruc 96, Barcelona"
HB-004697,Forget Me Not Plus 1,"Hotel Forget Me Not Plus 1, Carrer Balmes 129 Bis, Barcelona"
HB-004698,Forget Me Not Plus 2,"Hotel Forget Me Not Plus 2, Carrer Balmes 129 Bis, Barcelona"
HB-004706,RETROME,"Hotel RETROME, Carrer de Girona 85, Barcelona"
HB-004707,RETROME,"Hotel RETROME, Carrer de Girona 81, Barcelona"
HB-004708,RETROME,"Hotel RETROME, Carrer de Girona 81, Barcelona"
HB-004709,Canigó,"Hotel Canigó, Passatge Flaugier 31, Barcelona"
HB-004713,Hostal Ginebra Lux,"Hostal Ginebra Lux, Rambla Catalunya 1, Barcelona"
HB-004714,Hostal Ginebra Superior,"Hostal Ginebra Superior, Rambla Catalunya 1, Barcelona"
HB-004726,Sense especificar,"Hotel Sense especificar, Carrer Ausias March 25, Barcelona"
HB-004728,Ibis Styles Barcelona Centre,"Hotel Ibis Styles Barcelona Centre, Carrer Provença 340, Barcelona"
HB-004735,Flats Rent Store,"Hotel Flats Rent Store, Avinguda Diagonal 320 Bis, Barcelona"
HB-004736,Chi,"Hotel Chi, Carrer Gran Via Corts Catalanes 455, Barcelona"
HB-004739,H10 Casa Mimosa,"Hotel H10 Casa Mimosa, Carrer Pau Claris 179, Barcelona"
HB-004741,MY PILLOW GUESTHOUSE,"Hotel MY PILLOW GUESTHOUSE, Carrer de Malgrat 40, Barcelona"
HB-004758,Bcn NiceCozy,"Hotel Bcn NiceCozy, Carrer Chapí 83-85, Barcelona"
HB-004762,Od Barcelona,"Hotel Od Barcelona, Carrer Aragó 300, Barcelona"
HB-004766,Hostal Oliveta,"Hostal Oliveta, Carrer Poeta Cabanyes 18, Barcelona"
HB-004767,Hotel Boutique 2015,"Hotel Boutique 2015, Ronda Universitat 9, Barcelona"
HB-004805,45 Times Barcelona Hotel,"45 Times Barcelona Hotel, Plaça CATALUNYA 10 - 11, Barcelona"
HB-004844,COOLROOMS MALDA,"Hotel COOLROOMS MALDA, Carrer DEL PI 5, Barcelona"
HB-004857,HOTEL PRAKTIK ÈSSENS,"HOTEL PRAKTIK ÈSSENS, Passeig Passeig de Gràcia 24, Barcelona"
HB-004859,ALBERGUE DELFOS,"ALBERGUE DELFOS, Ronda de Sant Antoni 61, Barcelona"
HB-004883,CASA VOLVER,"Hotel CASA VOLVER, Carrer La Rambla 129, Barcelona"
HB-004910,HOTEL CASA LUZ,"HOTEL CASA LUZ, Ronda Universitat 1, Barcelona"
HB-004913,BELVILLAGE,"Hotel BELVILLAGE, Carrer Diputació 453, Barcelona"
HB-004917,Bed  stayup Gràcia,"Hotel Bed  stayup Gràcia, Carrer Gran de Gràcia 26, Barcelona"
HB-004954,HOSTAL DIAGONAL,"HOSTAL DIAGONAL, Avinguda Diagonal 369, Barcelona"
HB-004964,LIMEHOME BARCELONA,"Hotel LIMEHOME BARCELONA, Carrer Besalú 82, Barcelona"
HB-005108,Hotel Bypillow Maragall,"Hotel Bypillow Maragall, Passeig Maragall 103, Barcelona"
