categoria_oficial,fecha,anyo,mes,adr
5 gold stars,2020-11-01,2020,11,174.58
5 gold stars,2020-12-01,2020,12,170.09
5 gold stars,2021-01-01,2021,1,177.83
5 gold stars,2021-02-01,2021,2,184.23
5 gold stars,2021-03-01,2021,3,314.62
5 gold stars,2021-04-01,2021,4,201.17
5 gold stars,2021-05-01,2021,5,197.75
5 gold stars,2021-06-01,2021,6,223.92
5 gold stars,2021-07-01,2021,7,251.5
5 gold stars,2021-08-01,2021,8,242.54
5 gold stars,2021-09-01,2021,9,245.61
5 gold stars,2021-10-01,2021,10,238.93
5 gold stars,2021-11-01,2021,11,215.15
5 gold stars,2021-12-01,2021,12,206.73
5 gold stars,2022-01-01,2022,1,235.1
5 gold stars,2022-02-01,2022,2,242.65
5 gold stars,2022-03-01,2022,3,275.04
5 gold stars,2022-04-01,2022,4,289.86
5 gold stars,2022-05-01,2022,5,332.31
5 gold stars,2022-06-01,2022,6,354.93
5 gold stars,2022-07-01,2022,7,348.57
5 gold stars,2022-08-01,2022,8,346.77
5 gold stars,2022-09-01,2022,9,336.11
5 gold stars,2022-10-01,2022,10,315.02
5 gold stars,2022-11-01,2022,11,264.4
5 gold stars,2022-12-01,2022,12,250.93
5 gold stars,2023-01-01,2023,1,236.05
5 gold stars,2023-02-01,2023,2,306.29
5 gold stars,2023-03-01,2023,3,319.51
5 gold stars,2023-04-01,2023,4,325.98
5 gold stars,2023-05-01,2023,5,344.46
5 gold stars,2023-06-01,2023,6,349.33
5 gold stars,2023-07-01,2023,7,339.5
5 gold stars,2023-08-01,2023,8,331.69
5 gold stars,2023-09-01,2023,9,348.65
5 gold stars,2023-10-01,2023,10,344.21
5 gold stars,2023-11-01,2023,11,276.71
5 gold stars,2023-12-01,2023,12,255.01
5 gold stars,2024-01-01,2024,1,245.82
5 gold stars,2024-02-01,2024,2,307.6
5 gold stars,2024-03-01,2024,3,300.9
5 gold stars,2024-04-01,2024,4,358.2
5 gold stars,2024-05-01,2024,5,369.55
5 gold stars,2024-06-01,2024,6,400.71
5 gold stars,2024-07-01,2024,7,387.08
5 gold stars,2024-08-01,2024,8,346.31
5 gold stars,2024-09-01,2024,9,394.9
5 gold stars,2024-10-01,2024,10,363.51
5 gold stars,2024-11-01,2024,11,288.62
5 gold stars,2024-12-01,2024,12,283.48
5 gold stars,2025-01-01,2025,1,290.66
5 gold stars,2025-02-01,2025,2,294.23
5 gold stars,2025-03-01,2025,3,358.11
5 gold stars,2025-04-01,2025,4,330.66
5 gold stars,2025-05-01,2025,5,379.3
5 gold stars,2025-06-01,2025,6,391.89
5 gold stars,2025-07-01,2025,7,374.23
5 gold stars,2025-08-01,2025,8,314.58
5 gold stars,2025-09-01,2025,9,374.0
5 gold stars,2025-10-01,2025,10,366.55
5 gold stars,2025-11-01,2025,11,306.18
5 gold stars,2025-12-01,2025,12,278.1
5 gold stars,2026-01-01,2026,1,306.67
5 gold stars,2026-02-01,2026,2,308.25
5 gold stars,2026-03-01,2026,3,415.24
5 gold stars,2026-04-01,2026,4,332.44
5 gold stars,2026-05-01,2026,5,408.84
5 gold stars,2026-06-01,2026,6,422.51
5 gold stars,2026-07-01,2026,7,365.11
