licencia_id,origen,municipio,direccion_consultada,lat,lon,etiqueta_icgc,geocodificado,en_ciudad,municipio_poligono,municipio_coincide
HB-000776,hotel_at,Barcelona,"Carrer Pau Claris 145, Barcelona",41.39388061,2.16541959,,True,True,Barcelona,True
HB-000508,hotel_at,Barcelona,"Carrer Portaferrissa 23, Barcelona",41.38378347,2.17349131,,True,True,Barcelona,True
HB-004416,hotel_at,Barcelona,"Carrer Teodora Lamadrid 4, Barcelona",41.40593534,2.13799207,,True,True,Barcelona,True
HB-000739,hotel_at,Barcelona,"Carrer de Josep Anselm Clavé 27, Barcelona",41.37788792,2.17821929,,True,True,Barcelona,True
HB-000723,hotel_at,Barcelona,"Avinguda Marquès de l'Argentera 13, Barcelona",41.38440389,2.18453051,,True,True,Barcelona,True
HB-000701,hotel_at,Barcelona,"Carrer de Joaquín Costa 44, Barcelona",41.38280939,2.16558179,,True,True,Barcelona,True
HB-004443,hotel_at,Barcelona,"Carrer Gran Via Corts Catalanes 575, Barcelona",41.38517336,2.16217755,,True,True,Barcelona,True
HB-004457,hotel_at,Barcelona,"Carrer Escudellers 19, Barcelona",41.3794181,2.1761357,,True,True,Barcelona,True
HB-004464,hotel_at,Barcelona,"Carrer Sicília 276, Barcelona",41.40086452,2.17460967,,True,True,Barcelona,True
HB-004469,hotel_at,Barcelona,"Carrer Mare de Deu del Coll 14, Barcelona",41.40862139,2.15003072,,True,True,Barcelona,True
HB-004470,hotel_at,Barcelona,"Ronda de Sant Pere 27, Barcelona",41.38989939,2.17483637,,True,True,Barcelona,True
HB-004474,hotel_at,Barcelona,"Ronda Sant Pere 22, Barcelona",41.38922532,2.17398362,,True,True,Barcelona,True
HB-004475,hotel_at,Barcelona,"Carrer de Girona 39, Barcelona",41.39270778,2.17374181,,True,True,Barcelona,True
HB-004479,hotel_at,Barcelona,"Carrer Muntaner 175, Barcelona",41.39187227,2.15227872,,True,True,Barcelona,True
HB-000516,hotel_at,Barcelona,"Carrer Trafalgar 39, Barcelona",41.39002266,2.17710554,,True,True,Barcelona,True
HB-004483,hotel_at,Barcelona,"Carrer Provença 286, Barcelona",41.39413575,2.16087562,,True,True,Barcelona,True
