Hotel H10 Universitat, Ronda Universitat 21, Barcelona
HOTEL LEONARDO GRAN VIA, Carrer DIPUTACIO 100, Barcelona
Hotel Zenit Borrell, Carrer Comte Borrell 208, Barcelona
Hotel Inn Ninot Barcelona, S.L., Carrer de Muntaner 175, Barcelona
Hotel Barcelona Center Inn, Carrer Bailèn 47, Barcelona
Hotel Raval Rooms, Carrer Hospital 149-155, Barcelona
Hotel Citypark Pelai, Carrer Pelai 1, Barcelona
Hotel MEDICAL HOME BARCELONA MADRID SL, Gran Via de les Corts Catalanes 660, Barcelona
Hotel Luxtal, Carrer Tarragona 177, Barcelona
Hostal Ciudad Condal 2, Carrer Mallorca 253, Barcelona
Hotel BCN-Montjuic Servicios Inmobiliarios, Carrer Sant Fructuós 64-74, Barcelona
Hotel Ilunion Auditori, Carrer Sicilia 166, Barcelona
Hostal Agua Alegre, Carrer Roger de Lluria 47, Barcelona
Hotel Eurostars Anglí, Carrer Anglí 60, Barcelona
Hostal HMB, Carrer Francisco Giner 5, Barcelona
Hotel Petit Palace Museum, Carrer Diputació 250, Barcelona
Hotel BCN Port, Avinguda Paral.lel 15, Barcelona
Hotel Suitesbarcelona, Rambla Catalunya 103, Barcelona
Abac restaurant  hotel, Avinguda Tibidabo 1, Barcelona
Hotel Villa Emilia, Carrer Calabria 115-117, Barcelona
Hotel AC Sants, Passeig Sant Antoni 36-40, Barcelona
Hotel Sunotel Central, Carrer Gran Via Corts Catalanes 570-572, Barcelona
GRAN HOTEL MEDINACELI, Plaça Medinaceli 7-8, Barcelona
TOC HOTEL LAS RAMBLAS, Carrer del Carme 25, Barcelona
Hostal Caballero San Juan - Ramblas Rooms, Passeig Sant Joan 1, Barcelona
Hotel Martina, Carrer Bailen 42, Barcelona
Hostal Plaza Goya Bcn 1, Carrer Sepúlveda 187, Barcelona
Hotel Ibis Barcelona Plaça Glories 22@, Carrer Ciudad de Granada 99, Barcelona
Hotel Atlas, Carrer Cardenal Casañas 11, Barcelona
Hotel  Spa Villa Olimpic@ Suites, Carrer Pallars 121-125, Barcelona
Hotel The Praktik, Carrer Diputació 325, Barcelona
Somnio Hostel, Carrer Diputació 251, Barcelona
Hotel Mandarin Oriental Barcelona, Passeig Gracia 36-38-40, Barcelona
Hotel W Barcelona, Plaça Rosa dels Vents 1, Barcelona
Hotel Eurostars BCN Design, Passeig Gracia 29-31, Barcelona
Hotel Eos, Carrer Gran Via Corts Catalanes 575, Barcelona
HOTEL CIUTAT DE BARCELONA, Carrer de la Princesa 33, Barcelona
Hotel Mímic, Carrer Arc del Teatre 58, Barcelona
Hotel Hostemplo, Carrer Sicília 276, Barcelona
Hotel ANBA, Ronda de Sant Pere 27, Barcelona
Hotel Q, Ronda Sant Pere 22, Barcelona
Hotel Eurostars Monumental, Carrer Consell de Cent 498-500, Barcelona
Hotel Luxtal 1-23, Carrer Mallorca 1-23, Barcelona
