licencia_id,origen,municipio,direccion_consultada,lat,lon,etiqueta_icgc,geocodificado,en_ciudad
HUTB-006456,vut,Sitges,"Passeig VILA NOVA 38, Sitges",41.23771553,1.80340653,,True,False
HUTB-006457,vut,Sitges,"Carrer Cellerot 19, Sitges",,,,False,False
HUTB-006458,vut,Sitges,"Carrer De l¿Aigua 21, Sitges",41.23608529,1.81178315,,True,False
HUTB-006459,vut,Sitges,"Carrer Bonaire 1, Sitges",41.2362868,1.80791901,,True,False
HUTB-006460,vut,Sitges,"Avinguda Aiguadolç 7, Sitges",41.23765399,1.81945873,,True,False
HUTB-006463,vut,Sitges,"Carrer Taco 30, Sitges",41.23515384,1.81030652,,True,False
HUTB-006502,vut,Sitges,"Carrer Joan Salvat Papasseit 9, Sitges",41.23573312,1.82222627,,True,False
HUTB-006470,vut,Sitges,"Carrer CAMI DEL COLL 24, Sitges",41.23636466,1.78789109,,True,False
HUTB-006474,vut,Sitges,"Passeig Vilanova 38, Sitges",41.23771553,1.80340653,,True,False
HUTB-006477,vut,Sitges,"Carrer Salvador Olivella 6, Sitges",41.23869177,1.80534312,,True,False
HUTB-006480,vut,Sitges,"Carrer Primer Maig 3, Sitges",41.23497074,1.80716083,,True,False
HUTB-006483,vut,Sitges,"Carrer Mare de Déu de Montserrat 10, Sitges",41.23370809,1.8008391,,True,False
HUTB-006485,vut,Sitges,"Carrer Creu Roja 22, Sitges",41.23953271,1.82445601,,True,False
HUTB-006486,vut,Sitges,"Avinguda Francesc Macia 10, Sitges",41.24000257,1.81831606,,True,False
HUTB-006498,vut,Sitges,"Passeig Ribera 57, Sitges",41.23448713,1.80585477,,True,False
HUTB-006499,vut,Sitges,"Passeig Ribera 1, Sitges",41.23492257,1.81113586,,True,False
HUTB-006500,vut,Sitges,"Carrer Marina 4, Sitges",41.23739837,1.82775713,,True,False
HUTB-006501,vut,Sitges,"Carrer de Bonaire 16, Sitges",41.23591486,1.8079214,,True,False
HUTB-006670,vut,Sant Pol de Mar,"Carrer Serrat del Mas 21, Sant Pol de Mar",41.60999813,2.62541454,,True,False
HUTB-006673,vut,Calella,"Carrer Diputació 92, Calella",41.61046722,2.64926211,,True,False
HUTB-006674,vut,Calella,"Carrer Diputació 92, Calella",41.61046722,2.64926211,,True,False
HUTB-006752,vut,Vilanova i la Geltrú,"Carrer Escolapis 29, Vilanova i la Geltrú",41.22238002,1.72658256,,True,False
HUTB-006708,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006709,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006710,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006711,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006712,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006715,vut,Badalona,"Carrer Cervantes 35, Badalona",41.4394363,2.24115879,,True,False
HUTB-006725,vut,Vilanova i la Geltrú,"Carrer Correu 3, Vilanova i la Geltrú",41.22490387,1.72713294,,True,False
HUTB-006731,vut,Vilanova i la Geltrú,"Rambla Lluís Companys 13, Vilanova i la Geltrú",41.21590326,1.72442095,,True,False
HUTB-006738,vut,Vilanova i la Geltrú,"Carrer Alexandre Cabanyes 23, Vilanova i la Geltrú",41.21363999,1.71889264,,True,False
HUTB-006741,vut,Vilanova i la Geltrú,"Carrer Pardals 25, Vilanova i la Geltrú",41.21918261,1.70562544,,True,False
