osm_id,tipo_local,nombre_comercial,tipo_cocina,calle,numero,codigo_postal,municipio,telefono,sitio_web,latitud,longitud,municipio_poligono,codi_ine,barrio,distrito
13074545255,restaurant,Bar 002,,Carrer del Doctor Antoni Pujadas,48,08830,Sant Boi de Llobregat,,,41.3546388,2.0354572,Sant Boi de Llobregat,082009,,
13074644101,restaurant,Restaurant Cal Jaume,catalan,,,,,,,41.579425,1.6227479,Igualada,081022,,
13074745726,restaurant,Qué Caña,,Carrer Ramon Llull,49,08830,Sant Boi de Llobregat,,,41.3566952,2.0322108,Sant Boi de Llobregat,082009,,
13075549913,cafe,Jacaranda,,,,,,,https://www.jacarandabcn.com,41.4305818,2.1587542,Barcelona,080193,Horta,Horta-Guinardó
13075676936,restaurant,Asu Punto Sant Boi,peruvian,Carrer Joan Burgada,2,08830,Sant Boi de Llobregat,,,41.3559127,2.0337835,Sant Boi de Llobregat,082009,,
13076121213,restaurant,Plaça del Cava,,Plaça d'Espanya,2-3,43882,Calafell,,,41.1985719,1.5991214,,,,
13076154656,restaurant,Llamas,brasas;regional,Avinguda d'Espanya,92,43882,Calafell,,https://visit.calafell.cat/list/llamas/,41.1995159,1.5992214,,,,
13077683057,restaurant,Frankfurt Ramos,,Carrer Pau Casals,1,08830,Sant Boi de Llobregat,,,41.3562127,2.0297784,Sant Boi de Llobregat,082009,,
13077683058,restaurant,Frankfurt Alhambra,,Carrer Pau Casals,3,08830,Sant Boi de Llobregat,,,41.3565392,2.030262,Sant Boi de Llobregat,082009,,
13077683062,cafe,Cafetería Paca,,Carrer Pau Casals,3,08830,Sant Boi de Llobregat,,,41.3563988,2.0301365,Sant Boi de Llobregat,082009,,
13077683065,restaurant,Frankfurt Nuri's,,Carrer Pau Casals,1,08830,Sant Boi de Llobregat,,,41.3563916,2.0299522,Sant Boi de Llobregat,082009,,
13077726743,cafe,El Cafè De Chloë,,Carrer Frederic Mompou,8,08830,Sant Boi de Llobregat,,,41.3550793,2.0346426,Sant Boi de Llobregat,082009,,
13081618401,bar,Bar Cap Del Bosc,,,,,,,,42.3346206,1.8970412,,,,
13084708185,fast_food,Pans & Company,sandwich,,,,,,,41.381512,2.1732116,Barcelona,080193,el Barri Gòtic,Ciutat Vella
13086381382,cafe,Cafeteria Europa,,,,,,,,41.9755404,2.814587,,,,
13086381384,pub,El Mirador 1961,,,,,,,,41.9759513,2.8142448,,,,
13086381385,fast_food,Kebab Girona Menu,kebab,,,,,,,41.9757973,2.8143446,,,,
13088748601,restaurant,Paradeta Del Mercat,mediterranean,Plaça Patalín,1,25700,,+34 621 144 846,,42.3574761,1.4608897,,,,
13089517402,bar,Bar Milano,,,,,,,,41.4064002,2.1681531,Barcelona,080193,el Camp d'en Grassot i Gràcia Nova,Gràcia
13089609943,cafe,Apurado Café,coffee_shop,Carrer de Roger de Flor,253,08025,Barcelona,+34 605561359,,41.4030872,2.1667554,Barcelona,080193,el Camp d'en Grassot i Gràcia Nova,Gràcia
13092842301,restaurant,Grasa,,,,,,,,41.3768358,2.1899883,Barcelona,080193,la Barceloneta,Ciutat Vella
13093966086,restaurant,Smash Boss,burger,carrer de Sant Miquel,40,08755,Castellbisbal,+34 615 319 829,https://cuiico.tools/es/restaurants/smash-boss,41.4759175,1.9811697,Castellbisbal,080543,,
13093971619,cafe,Chinese Tofu Magician,bubble_tea,Carrer del Consell de Cent,391,08009,Barcelona,,https://www.instagram.com/chinesetofumagician/,41.394602,2.1701779,Barcelona,080193,la Dreta de l'Eixample,Eixample
13093995036,restaurant,Diver's,fusion;mediterranean;asian,Carrer de Pi I Margall,15,08755,Castellbisbal,+34 655 401 708,https://www.instagram.com/divers_restaurant/,41.4740117,1.9797415,Castellbisbal,080543,,
13096572668,restaurant,Àrea de Servei Garraf,,,,,,,,41.2223087,1.6756284,Cubelles,080749,,
13096572669,restaurant,Àrea de Servei Garraf,,,,,,,,41.2204953,1.6762333,Cubelles,080749,,
13098685501,bar,Bar frankfurt el Racó,,Avinguda de Vilassar de Dalt,10,,,,,41.5316357,2.3004369,Vallromanes,082969,,
13098691101,restaurant,Sant miquel,,Plaça de l'Església,,,,,,41.5316116,2.2983334,Vallromanes,082969,,
13099993568,cafe,Petit bar,,,,,,,,42.305484,2.1668997,,,,
13100049221,restaurant,La Taverna d'en Sidoro,mediterranean;tapas,Carrer del Pirineu,20,08503,Gurb,+34 938831689,https://linktr.ee/tavernadensidoro,41.9427827,2.2482164,Gurb,081000,,
13100136890,bar,Calvinapi,,,,,,,,41.451266,2.2456176,Badalona,080155,,
13100459653,bar,Flox,,Carrer Major,5,17534,Ribes de Freser,,,42.3060942,2.167479,,,,
13100461761,bar,Bar Sol,,Carrer de Balandrau,,17534,Ribes de Freser,,,42.3087774,2.1707208,,,,
13100469653,restaurant,Can font,,Carrer del Padró,15,17534,Pardines,+34972012213,https://drive.google.com/file/d/1nV5KYMcZ_8FIihNeVLd0bI51_CkxcJEy/view?usp=drive_link,42.3125879,2.2135322,,,,
13102762479,restaurant,L'Antic Café de la Rambla,regional,,,,,,,41.4483773,2.2515693,Badalona,080155,,
13103147602,cafe,Caracas,,,,,,,,41.3847865,2.1641633,Barcelona,080193,el Raval,Ciutat Vella
13103274146,restaurant,Pollastres a l'ast,regional,,,,,,,41.4384444,2.2434857,Badalona,080155,,
13103278674,restaurant,La Mar de Tapes,regional,,,,,,,41.4385608,2.2435799,Badalona,080155,,
13103279039,fast_food,Star Pizzeria & Kebab,pizza;kebab,,,,,,,41.4383233,2.2433873,Badalona,080155,,
13110938801,restaurant,Mundo Vegan,burger;pasta;pizza,Carrer de Muntaner,106,08036,,+34 934 510 085,https://www.mundoveganbarcelona.com/,41.3888012,2.1567808,Barcelona,080193,l'Antiga Esquerra de l'Eixample,Eixample
13112254620,pub,,,Carrer Priorat,16,08740,Sant Andreu de la Barca,,,41.4522352,1.9619687,Sant Andreu de la Barca,081960,,
13112282001,restaurant,Pizza Can Será,,,,,,,,41.3705378,2.1011149,l'Hospitalet de Llobregat,081017,,
13112299636,restaurant,SeaYou,,,,,,,,41.3877519,2.1622874,Barcelona,080193,l'Antiga Esquerra de l'Eixample,Eixample
13112522702,restaurant,Ginos,italian_pizza,,,,,+34935219182,,41.4399676,2.1977503,Barcelona,080193,el Bon Pastor,Sant Andreu
13112559846,pub,Bar los Pinos,,Carrer de la Lírica,1,08035,Barcelona,+34650052651,,41.432995,2.1432326,Barcelona,080193,Montbau,Horta-Guinardó
13112559847,pub,Rias do Miño,galician,Carrer de la Mímica,1,08035,Barcelona,,,41.432869,2.1437457,Barcelona,080193,Montbau,Horta-Guinardó
13112584026,restaurant,La Terrasseta de Montbau,tapas;burger;sandwich,Carrer de Roig i Solé,31,08035,Barcelona,+34676278766,,41.4322173,2.1413017,Barcelona,080193,Montbau,Horta-Guinardó
13112961785,fast_food,,burger,,,,,,,41.9770214,2.8230803,,,,
13112989199,cafe,Bobada,bubble_tea,Carrer Migdia,23,17002,Girona,,,41.9763932,2.8207513,,,,
13114550701,restaurant,Udon,,,,,,,,41.4409849,2.1983012,Barcelona,080193,el Bon Pastor,Sant Andreu
13114610101,restaurant,Udon,japanese,,,,,+34933608042,https://www.udon.com/,41.4410961,2.1984183,Barcelona,080193,el Bon Pastor,Sant Andreu
13114988084,restaurant,233 Grill & Wine,,,,,,,,41.3859126,2.1586312,Barcelona,080193,l'Antiga Esquerra de l'Eixample,Eixample
13121702872,bar,Sky View,,,,,,,https://www.circuitcat.com/en/servicios-vip-2/suites-grandstand-2/,41.5705842,2.2621543,Granollers,080961,,
13121702873,bar,Montjuïc Club,,,,,,,https://www.circuitcat.com/ca/servicios-vip/pisos-box-member/,41.5696935,2.2604349,Montmeló,081350,,
13122972801,cafe,,,Carrer de la Selva de Mar,213,,,,,41.416695,2.1984246,Barcelona,080193,Sant Martí de Provençals,Sant Martí
13123486601,restaurant,Tanto Gusto,spanish,Carrer de Rafael Llopart,68,,,,https://tantogusto.net/,41.236549,1.8126321,Sitges,082704,,
13124215001,fast_food,La Tremenda,burger,Carrer de Santa Anna,12,,,+34931839092,https://latremenda.com/,41.452011,2.2061788,Santa Coloma de Gramenet,082457,,
13128397798,restaurant,Tacos MX,mexican,Carrer de Pau via Dinares,2,,Girona,,,41.9725723,2.8161461,,,,
13130682260,restaurant,Tio Bigotes,empanada,Passeig Marítim de Sant Joan de Déu,245,43882,Calafell,,,41.1904985,1.6078292,,,,
13130914801,restaurant,,local;mediterranean;spanish,Carrer de Güell i Ferrer,86,,,,,41.4452781,2.2409307,Badalona,080155,,
13132846618,restaurant,Pizzamarket,pizza,,,,,,,41.3884526,2.1567971,Barcelona,080193,l'Antiga Esquerra de l'Eixample,Eixample
13135982301,bar,Candy Darling,,Gran Via de les Corts Catalanes,586,08011,,,,41.3849766,2.163026,Barcelona,080193,Sant Antoni,Eixample
13136483525,restaurant,Il Pizzaiolo de Bellvitge,pizza,,,,,,,41.3496343,2.1128486,l'Hospitalet de Llobregat,081017,,
13136612750,fast_food,Gigi,sandwich,,,,,,,41.3861268,2.1621131,Barcelona,080193,l'Antiga Esquerra de l'Eixample,Eixample
13136705311,fast_food,Aquí Mateix Pollastres Brasa,chicken,Avinguda de Sant Esteve,73,,,+34 938795039,,41.6014433,2.2906157,Granollers,080961,,
13136718225,cafe,Hagrid's Cafe,american,Carrer Major,132,,,+34 623305405,,41.6895552,2.4909728,Sant Celoni,082021,,
13140781138,restaurant,El Racó d'En Berna,,Carrer de Benviure,27,08830,Sant Boi de Llobregat,,,41.3465285,2.024401,Sant Boi de Llobregat,082009,,
