fuente,serie,unidad,anyo,periodo,provisional,fecha,valor,mes
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2023,M04,False,2023-03-31 22:00:00+00:00,255754.0,2023-03
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2023,M05,False,2023-04-30 22:00:00+00:00,266579.0,2023-04
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2023,M06,False,2023-05-31 22:00:00+00:00,233725.0,2023-05
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2023,M07,False,2023-06-30 22:00:00+00:00,280103.0,2023-06
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2023,M08,False,2023-07-31 22:00:00+00:00,197239.0,2023-07
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2023,M09,False,2023-08-31 22:00:00+00:00,212875.0,2023-08
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2023,M10,False,2023-09-30 22:00:00+00:00,256947.0,2023-09
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2023,M11,False,2023-10-31 23:00:00+00:00,262792.0,2023-10
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2023,M12,False,2023-11-30 23:00:00+00:00,268926.0,2023-11
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2024,M01,False,2023-12-31 23:00:00+00:00,234746.0,2023-12
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2024,M02,False,2024-01-31 23:00:00+00:00,231328.0,2024-01
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2024,M03,False,2024-02-29 23:00:00+00:00,252606.0,2024-02
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2024,M04,False,2024-03-31 22:00:00+00:00,216176.0,2024-03
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2024,M05,False,2024-04-30 22:00:00+00:00,220472.0,2024-04
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2024,M06,False,2024-05-31 22:00:00+00:00,214759.0,2024-05
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2024,M07,False,2024-06-30 22:00:00+00:00,227924.0,2024-06
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2024,M08,False,2024-07-31 22:00:00+00:00,171978.0,2024-07
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2024,M09,False,2024-08-31 22:00:00+00:00,210566.0,2024-08
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2024,M10,False,2024-09-30 22:00:00+00:00,234269.0,2024-09
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2024,M11,False,2024-10-31 23:00:00+00:00,250489.0,2024-10
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2024,M12,False,2024-11-30 23:00:00+00:00,270624.0,2024-11
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2025,M01,False,2024-12-31 23:00:00+00:00,227238.0,2024-12
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2025,M02,False,2025-01-31 23:00:00+00:00,227146.0,2025-01
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2025,M03,False,2025-02-28 23:00:00+00:00,235520.0,2025-02
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2025,M04,False,2025-03-31 22:00:00+00:00,201588.0,2025-03
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2025,M05,False,2025-04-30 22:00:00+00:00,205816.0,2025-04
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2025,M06,False,2025-05-31 22:00:00+00:00,203702.0,2025-05
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2025,M07,False,2025-06-30 22:00:00+00:00,258221.0,2025-06
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2025,M08,True,2025-07-31 22:00:00+00:00,190968.0,2025-07
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2025,M09,True,2025-08-31 22:00:00+00:00,208644.0,2025-08
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2025,M10,True,2025-09-30 22:00:00+00:00,223883.0,2025-09
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2025,M11,True,2025-10-31 23:00:00+00:00,249440.0,2025-10
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2025,M12,True,2025-11-30 23:00:00+00:00,245770.0,2025-11
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2026,M01,True,2025-12-31 23:00:00+00:00,248759.0,2025-12
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2026,M02,True,2026-01-31 23:00:00+00:00,265941.0,2026-01
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2026,M03,True,2026-02-28 23:00:00+00:00,278549.0,2026-02
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2026,M04,True,2026-03-31 22:00:00+00:00,264703.0,2026-03
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2026,M05,True,2026-04-30 22:00:00+00:00,247095.0,2026-04
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2026,M06,True,2026-05-31 22:00:00+00:00,235296.0,2026-05
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en España.,Pernoctaciones,2026,M07,True,2026-06-30 22:00:00+00:00,209672.0,2026-06
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2020,M08,False,2020-07-31 22:00:00+00:00,163049.0,2020-07
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2020,M09,False,2020-08-31 22:00:00+00:00,97273.0,2020-08
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2020,M10,False,2020-09-30 22:00:00+00:00,77994.0,2020-09
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2020,M11,False,2020-10-31 23:00:00+00:00,34744.0,2020-10
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2020,M12,False,2020-11-30 23:00:00+00:00,54362.0,2020-11
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2021,M01,False,2020-12-31 23:00:00+00:00,49018.0,2020-12
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2021,M02,False,2021-01-31 23:00:00+00:00,51982.0,2021-01
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2021,M03,False,2021-02-28 23:00:00+00:00,74868.0,2021-02
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2021,M04,False,2021-03-31 22:00:00+00:00,103099.0,2021-03
