DATA_EXPLO,OCUPACIO,CODI_DISTRICTE,NOM_DISTRICTE,CODI_BARRI,NOM_BARRI,EMPLACAMENT,SUPERFICIE_OCUPADA,TAULES,CADIRES,TAULES_VORERA,CADIRES_VORERA,TAULES_CALCADA,CADIRES_CALCADA,ORDENACIO,VIGENCIA,X_ETRS89,Y_ETRS89,LATITUD,LONGITUD
1/7/2026 0:00:00,Terrasses en Via Pública,10,Sant Martí,68,el Poblenou,"C. BILBAO, 18",31.5,14.0,56.0,14.0,56.0,0.0,0.0,General,Anual,33536972,83729726,41.4023628777602,2.20487688873996
1/7/2026 0:00:00,Terrasses en Via Pública,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera","C. ALLADA-VERMELL, 11",18.0,8.0,32.0,8.0,32.0,0.0,0.0,General,Anual,31530814,82040928,41.3869840387697,2.1810697001033
1/7/2026 0:00:00,Terrasses en Via Pública,1,Ciutat Vella,2,el Barri Gòtic,"PL. REIAL, 12",4.5,2.0,8.0,2.0,8.0,0.0,0.0,General,Anual,31086576,81267045,41.3799759694124,2.17584490400821
1/7/2026 0:00:00,Terrasses en Via Pública,1,Ciutat Vella,1,el Raval,"C. FERLANDINA, 29",18.0,8.0,32.0,8.0,32.0,0.0,0.0,General,Anual,30296699,81558086,41.3825292452661,2.16636601896816
1/7/2026 0:00:00,Terrasses en Via Pública,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,"C. MARINA, 95",10.5,4.0,16.0,4.0,16.0,0.0,0.0,General,Anual,32123538,82765059,41.3935563166012,2.18807718266915
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,7,la Dreta de l'Eixample,"PL. TETUAN, 5",10.5,4.0,16.0,4.0,16.0,0.0,0.0,General,Anual,31091811,82849492,41.3942290395881,2.17572750778712
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,8,l'Antiga Esquerra de l'Eixample,"C. ENRIC GRANADOS, 54",9.0,4.0,16.0,4.0,16.0,0.0,0.0,General,Anual,29585154,82554763,41.3914440119947,2.15774115127062
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,7,la Dreta de l'Eixample,"C. BALMES, 12",10.8,4.0,16.0,4.0,16.0,0.0,0.0,General,Anual,30330084,81983053,41.3863596792617,2.16671638866746
1/7/2026 0:00:00,Terrasses en Via Pública,3,Sants-Montjuïc,15,Hostafrancs,"C. LLOBET, 5",9.0,4.0,16.0,4.0,16.0,0.0,0.0,General,Anual,28247146,80822387,41.3757228977168,2.14194358135606
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,6,la Sagrada Família,"C. ROSSELLO, 390",18.0,8.0,32.0,8.0,32.0,0.0,0.0,General,Anual,30857282,84024737,41.4047939557056,2.1727881584441
1/7/2026 0:00:00,Terrasses en Via Pública,9,Sant Andreu,63,Navas,"C. SANT ANTONI MARIA CLARET, 277",6.75,3.0,12.0,3.0,12.0,0.0,0.0,General,Anual,31711470,85450477,41.4177081464965,2.18284560655196
1/7/2026 0:00:00,Terrasses en Via Pública,7,Horta-Guinardó,35,el Guinardó,"AV. MARE DE DEU DE MONTSERRAT, 117",4.5,2.0,8.0,2.0,8.0,0.0,0.0,General,Anual,30567257,85246668,41.4157744595593,2.16917848599665
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,8,l'Antiga Esquerra de l'Eixample,"C. COMTE D'URGELL, 148",27.0,9.0,36.0,9.0,36.0,0.0,0.0,General,Anual,29252522,81944221,41.3859158867995,2.1538341341678
