barrio,escenario,w,plazas_que_salen,plazas_que_llegan,plazas_sin_sitio,plazas_que_se_quedan,km_mediano,sobrecoste_mediano,saldo
el Baix Guinardó,solo_barrio,1.0,144.0,118.57,10.0,23.0,1.54,32.1,-25.43
el Barri Gòtic,solo_barrio,1.0,1215.0,2607.55,197.0,915.85,0.05,26.59,1392.55
el Besòs i el Maresme,solo_barrio,1.0,155.0,168.37,21.0,74.0,0.31,66.28,13.37
el Bon Pastor,solo_barrio,1.0,8.0,57.84,0.0,2.0,2.68,69.86,49.84
el Camp d'en Grassot i Gràcia Nova,solo_barrio,1.0,566.0,141.06,49.0,58.43,1.39,56.93,-424.94
el Camp de l'Arpa del Clot,solo_barrio,1.0,540.0,312.97,30.0,79.5,1.36,53.91,-227.03
el Carmel,solo_barrio,1.0,103.0,0.0,23.0,0.0,1.47,-3.84,-103.0
el Clot,solo_barrio,1.0,76.0,5.78,12.0,0.0,0.6,58.33,-70.22
el Coll,solo_barrio,1.0,60.0,81.62,8.0,12.0,1.85,6.7,21.62
el Congrés i els Indians,solo_barrio,1.0,52.0,0.0,24.0,0.0,1.44,0.69,-52.0
el Fort Pienc,solo_barrio,1.0,1188.0,419.97,102.0,237.0,0.68,28.13,-768.03
el Guinardó,solo_barrio,1.0,190.0,141.7,22.0,37.49,1.27,2.51,-48.3
el Parc i la Llacuna del Poblenou,solo_barrio,1.0,370.0,1350.21,2.0,218.0,0.18,13.25,980.21
el Poble Sec,solo_barrio,1.0,1638.0,823.88,169.0,696.38,0.39,31.34,-814.12
el Poblenou,solo_barrio,1.0,868.0,1084.15,56.0,605.76,0.25,36.47,216.15
el Putxet i el Farró,solo_barrio,1.0,374.0,231.35,50.0,129.38,0.37,16.86,-142.65
el Raval,solo_barrio,1.0,1269.0,2851.76,270.0,868.8,0.1,30.45,1582.76
el Turó de la Peira,solo_barrio,1.0,4.0,0.0,2.0,0.0,0.81,-24.68,-4.0
l'Antiga Esquerra de l'Eixample,solo_barrio,1.0,2001.0,1334.78,137.0,946.19,0.19,35.29,-666.22
la Barceloneta,solo_barrio,1.0,342.0,804.28,70.0,69.0,0.64,20.59,462.28
la Bordeta,solo_barrio,1.0,107.0,12.53,7.0,7.53,0.59,14.68,-94.47
la Dreta de l'Eixample,solo_barrio,1.0,5276.0,4888.32,267.0,3454.59,0.14,39.14,-387.68
la Font d'en Fargues,solo_barrio,1.0,19.0,0.0,0.0,0.0,0.83,-13.41,-19.0
la Font de la Guatlla,solo_barrio,1.0,166.0,170.3,11.0,79.0,0.33,35.87,4.3
la Guineueta,solo_barrio,1.0,6.0,0.0,4.0,0.0,1.15,-10.94,-6.0
la Marina de Port,solo_barrio,1.0,22.0,131.1,10.0,7.0,0.63,-31.86,109.1
la Marina del Prat Vermell,solo_barrio,1.0,3.0,61.05,0.0,0.0,0.96,-35.93,58.05
la Maternitat i Sant Ramon,solo_barrio,1.0,168.0,812.31,28.0,136.64,0.34,57.84,644.31
la Nova Esquerra de l'Eixample,solo_barrio,1.0,1457.0,696.63,185.0,456.98,0.38,33.26,-760.37
la Sagrada Família,solo_barrio,1.0,2347.0,192.47,130.0,164.47,1.16,38.12,-2154.53
la Sagrera,solo_barrio,1.0,51.0,13.5,7.0,8.0,1.61,13.8,-37.5
la Salut,solo_barrio,1.0,94.0,18.64,29.0,2.0,1.36,15.34,-75.36
la Teixonera,solo_barrio,1.0,18.0,0.0,13.0,0.0,1.31,-2.33,-18.0
la Trinitat Vella,solo_barrio,1.0,2.0,0.0,0.0,0.0,5.13,108.4,-2.0
la Vall d'Hebron,solo_barrio,1.0,4.0,100.25,0.0,4.0,0.15,-9.82,96.25
la Verneda i la Pau,solo_barrio,1.0,22.0,0.0,2.0,0.0,1.37,70.24,-22.0
la Vila Olímpica del Poblenou,solo_barrio,1.0,346.0,237.14,16.0,169.38,0.25,23.97,-108.86
la Vila de Gràcia,solo_barrio,1.0,1991.0,237.14,83.0,229.14,0.73,39.33,-1753.86
les Corts,solo_barrio,1.0,512.0,1038.84,51.0,329.03,0.29,42.82,526.84
les Roquetes,solo_barrio,1.0,12.0,0.0,4.0,0.0,5.42,106.72,-12.0
les Tres Torres,solo_barrio,1.0,74.0,72.3,10.0,22.96,0.4,19.28,-1.7
