id,host_id,host_perfil,regimen,cesion_entera,estado_actividad,sujeto_a_ley_vut,motivo_exclusion,neighbourhood_group,neighbourhood,room_type,property_type,accommodates,bedrooms,minimum_nights,uso_turistico,borde_31_noches,licencia_regional,vivienda_id,anuncios_de_la_vivienda,es_repeticion,precio_anuncio,precio_por_plaza,precio_plaza_anual,banda_plaza,factor_temporada,number_of_reviews_ltm,availability_365,license,situacion,sujeto_a_vut,sin_licencia,actividad_reciente
577391536278030741,342498888.0,,sin_declarar,True,activo,False,estancia_de_32_noches,Ciutat Vella,el Barri Gòtic,Entire home/apt,Entire rental unit,2.0,,32.0,False,False,Exempt - seasonal rental,anuncio:577391536278030741,1,False,54.55,27.28,22.96,€,1.188,1,190,Spain - National registration number<br />ESHFNT00000811900016527400900000000000000000000000003<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,exencion_declarada,False,False,False
577417295474041549,342498888.0,,sin_declarar,False,activo,False,no_es_cesion_entera,Ciutat Vella,el Barri Gòtic,Private room,Private room in rental unit,2.0,1.0,32.0,False,False,Exempt - seasonal rental,anuncio:577417295474041549,1,False,56.32,28.16,23.7,€,1.188,1,183,Spain - National registration number<br />ESHFNT00000811900016527401800000000000000000000000001<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,exencion_declarada,False,False,False
577993217396515725,447205324.0,sin_anuncios_turisticos,albergue,False,activo,False,regimen_no_vut,Eixample,la Dreta de l'Eixample,Shared room,Shared room in hostel,8.0,1.0,1.0,True,False,AJ000498,anuncio:577993217396515725,1,False,73.0,9.12,7.68,€,1.188,13,178,Barcelona - Regional registration number<br />AJ000498<br /><br />Spain - National registration number<br />Exempt - hostel,licencia_otro_regimen,False,False,True
577993306978051437,447205324.0,sin_anuncios_turisticos,albergue,False,activo,False,regimen_no_vut,Eixample,la Dreta de l'Eixample,Shared room,Shared room in hostel,4.0,1.0,1.0,True,False,AJ-000498,anuncio:577993306978051437,1,False,73.0,18.25,15.36,€,1.188,2,171,Barcelona - Regional registration number<br />AJ-000498<br /><br />Spain - National registration number<br />Exempt - hostel,licencia_otro_regimen,False,False,True
578072976073132093,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Ciutat Vella,el Barri Gòtic,Entire home/apt,Entire condo,6.0,3.0,25.0,True,False,HUTB-000924,HUTB-000924,6,True,175.76,29.29,24.65,€,1.188,0,171,Barcelona - Regional registration number<br />HUTB-000924,licencia_verificada,True,False,False
578303754628475520,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Eixample,la Sagrada Família,Entire home/apt,Entire condo,3.0,2.0,25.0,True,False,HUTB-002111,HUTB-002111,5,True,147.0,49.0,41.24,€€,1.188,0,319,Barcelona - Regional registration number<br />HUTB-002111,licencia_verificada,True,False,False
578332684493865298,103817802.0,solo_sin_licencia,sin_declarar,False,activo,False,no_es_cesion_entera,Eixample,l'Antiga Esquerra de l'Eixample,Private room,Private room in rental unit,1.0,,31.0,True,True,,anuncio:578332684493865298,1,False,35.25,35.25,29.67,€,1.188,3,274,Spain - National registration number<br />ESHFNT00000806600003349500100000000000000000000000001,sin_declarar,False,False,True
578738353737401174,4903844.0,solo_sin_licencia,sin_declarar,False,sin_confirmar,False,no_es_cesion_entera,Horta-Guinardó,el Guinardó,Private room,Private room in rental unit,1.0,,31.0,True,True,,anuncio:578738353737401174,1,False,35.37,35.37,29.77,€,1.188,0,180,,sin_declarar,False,False,False
578817945516566633,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Horta-Guinardó,el Baix Guinardó,Entire home/apt,Entire condo,3.0,1.0,24.0,True,False,HUTB-002560,HUTB-002560,6,True,176.92,58.97,49.63,€€,1.188,0,350,Barcelona - Regional registration number<br />HUTB-002560,licencia_verificada,True,False,False
578856426928020355,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire condo,4.0,2.0,31.0,True,True,HUTB-010172,HUTB-010172,6,True,170.23,42.56,35.82,€,1.188,0,171,Barcelona - Regional registration number<br />HUTB-010172,licencia_verificada,True,False,False
578874808031125590,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire condo,3.0,1.0,25.0,True,False,HUTB-010174,HUTB-010174,6,True,176.68,58.89,49.57,€€,1.188,0,171,Barcelona - Regional registration number<br />HUTB-010174,licencia_verificada,True,False,False
578894614717178503,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire condo,4.0,1.0,25.0,True,False,HUTB-010171,HUTB-010171,5,True,176.68,44.17,37.18,€,1.188,0,171,Barcelona - Regional registration number<br />HUTB-010171,licencia_verificada,True,False,False
578927633295269554,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire rental unit,2.0,1.0,10.0,True,False,HUTB-010175,HUTB-010175,6,True,62.8,31.4,26.43,€,1.188,0,271,Barcelona - Regional registration number<br />HUTB-010175,licencia_verificada,True,False,False
